wall_reflectance,simulation_flux_mean,simulation_flux_std,theory_flux,relative_error_%
0.95,5.5236953695834054e-05,8.183412765716513e-07,6.0231569862956506e-05,-8.292355949689815
0.951025641025641,5.60139258551496e-05,1.0377404540971143e-06,6.12158060146954e-05,-8.497609519830625
0.952051282051282,5.718335183632835e-05,1.7077056066711165e-06,6.223268299592648e-05,-8.113632446039068
0.953076923076923,5.8087952846322346e-05,1.669559117722278e-06,6.328391403665872e-05,-8.210555983194231
0.9541025641025641,5.921071919933933e-05,8.433169941452178e-07,6.43713342488368e-05,-8.016945911899796
0.9551282051282051,6.149577085109694e-05,8.888358258658924e-07,6.549671201095968e-05,-6.108613756356598
0.9561538461538461,6.161430575291125e-05,7.875815293925081e-07,6.666220791215642e-05,-7.572359688261454
0.9571794871794871,6.29189981595314e-05,7.891591127014744e-07,6.786986319937473e-05,-7.294644200622084
0.9582051282051282,6.32448965024115e-05,7.859341461317899e-07,6.912208166010098e-05,-8.502615975296857
0.9592307692307692,6.536506401332995e-05,1.1783411912278604e-06,7.042145319858239e-05,-7.180182963554955
0.9602564102564102,6.566772278806458e-05,6.834957857789221e-07,7.177053247374961e-05,-8.503224757204018
0.9612820512820512,6.774221591765825e-05,1.983770650056645e-06,7.317239358490421e-05,-7.421074262037292
0.9623076923076923,6.91995723834042e-05,5.892554292931202e-07,7.463002311245396e-05,-7.2764961105091155
0.9633333333333333,6.969527524077551e-05,1.3916498456338631e-06,7.614690637575796e-05,-8.472610959591632
0.9643589743589743,7.146112456098437e-05,1.0042550217387593e-06,7.772682511650937e-05,-8.061181639843094
0.9653846153846154,7.24519539540492e-05,9.824789136048575e-07,7.937359648309308e-05,-8.720333757987406
0.9664102564102564,7.46522470857213e-05,1.3240123696312225e-06,8.109175939543595e-05,-7.941019356002634
0.9674358974358974,7.588440308347547e-05,7.491473546639963e-07,8.288584605751633e-05,-8.447091158582609
0.9684615384615385,7.750915219801386e-05,4.933599283412773e-07,8.476111409201528e-05,-8.555765189835531
0.9694871794871794,7.909880073505821e-05,8.383091138078375e-07,8.67233178320642e-05,-8.791772832965789
0.9705128205128205,8.112685455466662e-05,5.130774544826902e-07,8.877840158378887e-05,-8.618703302402594
0.9715384615384615,8.338916384025915e-05,6.093471253314158e-07,9.093337638664518e-05,-8.2964174939555
0.9725641025641025,8.536702141863848e-05,1.1964522847804075e-06,9.31954372537466e-05,-8.399999040503893
0.9735897435897436,8.789764834424944e-05,4.707855851177712e-07,9.557291130348779e-05,-8.03079330173994
0.9746153846153846,9.030573435819402e-05,8.517669115201321e-07,9.807501176238597e-05,-7.921770555597989
0.9756410256410256,9.17398411696476e-05,8.090197533785161e-07,0.0001007114870001654,-8.90826468534127
0.9766666666666667,9.446456753346264e-05,1.094861397311135e-06,0.00010349379285623635,-8.724412424729893
0.9776923076923076,9.73644664811431e-05,1.6283867674619831e-06,0.00010643402143360588,-8.521293126296484
0.9787179487179487,0.0001001710771229557,1.01314653000958e-06,0.00010954619705530341,-8.558142760186161
0.9797435897435898,0.0001028173361670818,7.511628506916848e-07,0.0001128460550026206,-8.887079690385196
0.9807692307692307,0.00010686015848487482,1.1884558411328175e-06,0.00011635068060000829,-8.156825612185369
0.9817948717948718,0.00011007884248951446,1.6827415942861024e-06,0.00012008019129860391,-8.328891469050928
0.9828205128205127,0.00011403822764160642,8.325506322061398e-07,0.00012405647277054962,-8.07555212977285
0.9838461538461538,0.00011648461178254265,1.182945849104484e-06,0.0001283051105200362,-9.21280429874043
0.9848717948717949,0.0001208286872187577,1.193787257848745e-06,0.0001328553533290302,-9.05245126290636
0.9858974358974358,0.00012588782212897938,6.495947444569365e-07,0.0001377399102380812,-8.604686970258426
0.9869230769230769,0.00013059745148030516,1.7161525821161228e-06,0.00014299766467756102,-8.671619375894382
0.987948717948718,0.00013497799286247043,1.2130279311739866e-06,0.00014867240008781835,-9.211129447872542
0.9889743589743589,0.0001405804437788633,6.096671701032433e-07,0.00015481614125185912,-9.195228196417059
0.99,0.00014733357041703466,1.4331794226661203e-06,0.00016148994262530093,-8.766101453830332
