wall_reflectance,simulation_flux_mean,simulation_flux_std,theory_flux,relative_error_%
0.95,6.337877746988833e-05,1.3112243846774646e-06,6.0231569862956506e-05,5.225179443425753
0.951025641025641,6.327017283822524e-05,1.1570220737518044e-06,6.12158060146954e-05,3.355941802084033
0.952051282051282,6.514702117768323e-05,1.1489728536795333e-06,6.223268299592648e-05,4.682970493088831
0.953076923076923,6.628697541309991e-05,1.1577700554996426e-06,6.328391403665872e-05,4.74537869876631
0.9541025641025641,6.682423380871436e-05,8.470310268581958e-07,6.43713342488368e-05,3.8105464000412206
0.9551282051282051,6.863894650924143e-05,1.6821819122190857e-06,6.549671201095968e-05,4.797545406181535
0.9561538461538461,7.159618416884913e-05,1.5333371343553335e-06,6.666220791215642e-05,7.401459404396581
0.9571794871794871,7.163078530597947e-05,8.061164980869764e-07,6.786986319937473e-05,5.5413727526702745
0.9582051282051282,7.222467793361615e-05,7.15140611735303e-07,6.912208166010098e-05,4.488574705796316
0.9592307692307692,7.48278910786832e-05,1.7837462783196289e-06,7.042145319858239e-05,6.25723792957672
0.9602564102564102,7.562003906733702e-05,7.467008891054881e-07,7.177053247374961e-05,5.363631090511123
0.9612820512820512,7.802073628179788e-05,8.539832246354943e-07,7.317239358490421e-05,6.62591786240802
0.9623076923076923,7.944228273814853e-05,7.353000668177472e-07,7.463002311245396e-05,6.448155078879395
0.9633333333333333,7.98859466630719e-05,1.0838374345931623e-06,7.614690637575796e-05,4.910298349959362
0.9643589743589743,8.257529073994304e-05,1.1432689567436504e-06,7.772682511650937e-05,6.237827952146525
0.9653846153846154,8.352849925987447e-05,2.059417429388985e-06,7.937359648309308e-05,5.234615742360124
0.9664102564102564,8.556284004266903e-05,8.76999728131292e-07,8.109175939543595e-05,5.513606660610599
0.9674358974358974,8.774781219719296e-05,1.003405609600538e-06,8.288584605751633e-05,5.865858130111636
0.9684615384615385,8.937625258219751e-05,1.8685789458737392e-07,8.476111409201528e-05,5.444877099151996
0.9694871794871794,9.295329960291653e-05,1.3354875853611786e-06,8.67233178320642e-05,7.183744725860707
0.9705128205128205,9.436221153397301e-05,1.0558070443450652e-06,8.877840158378887e-05,6.289604059737609
0.9715384615384615,9.691487802382976e-05,8.321928539680405e-07,9.093337638664518e-05,6.577894580479971
0.9725641025641025,9.984827169749139e-05,5.00491456285167e-07,9.31954372537466e-05,7.138583861815978
0.9735897435897436,0.00010258264279261285,7.047690271256424e-07,9.557291130348779e-05,7.334433359329145
0.9746153846153846,0.00010475739028355679,1.0445525562610708e-06,9.807501176238597e-05,6.813538332639449
0.9756410256410256,0.00010927107002148189,9.415324873305622e-07,0.0001007114870001654,8.499112937635829
0.9766666666666667,0.00011078756513156125,1.2621111603728016e-06,0.00010349379285623635,7.04754562957869
0.9776923076923076,0.00011491060838272984,9.694783962776752e-07,0.00010643402143360588,7.964170511410859
0.9787179487179487,0.00011936060665792956,1.5811098495491334e-06,0.00010954619705530341,8.959151359377113
0.9797435897435898,0.0001224577402423052,3.2876638609414545e-07,0.0001128460550026206,8.51751994295359
0.9807692307692307,0.00012616538610491746,1.3924627801426021e-06,0.00011635068060000829,8.435451734614496
0.9817948717948718,0.00013077036017350037,6.804642040850941e-07,0.00012008019129860391,8.902524853839687
0.9828205128205127,0.00013540574682357914,8.614737324000977e-07,0.00012405647277054962,9.148473916408001
0.9838461538461538,0.00014078801967975675,1.3719216587477115e-06,0.0001283051105200362,9.729081802841517
0.9848717948717949,0.00014609161766456687,2.2570753241671863e-06,0.0001328553533290302,9.962913803522591
0.9858974358974358,0.00015206699301205907,1.3288813510252089e-06,0.0001377399102380812,10.401547924064811
0.9869230769230769,0.00015761341566868903,9.501736338071374e-07,0.00014299766467756102,10.220971806836426
0.987948717948718,0.0001649094897460547,1.6656881883246126e-06,0.00014867240008781835,10.921387997130177
0.9889743589743589,0.00017292524538807113,8.558736562846129e-07,0.00015481614125185912,11.697168001850418
0.99,0.00017994554899709823,1.0745582782683338e-06,0.00016148994262530093,11.428331741140777
